SQL,filename
 CREATE TABLE srl;,7_SRL_data.sas
CREATE TABLE 'G:\RM EAnlys\Shared_Data\OYSData\Standard Room Limit Data\RMSAD Data\srl_data_&yrmn..csv' AS ( SELECT * FROM srl_data) ;,7_SRL_data.sas
"CREATE TABLE Currents AS  ( select marsha, stay_year, coalesce( crossover_rms,0) AS CO_RN_Goal, coalesce( ( crossover_rms*crossover_gadr),0) AS CO_Rev_Goal, def_rms AS Def_OTB, ( def_rms*def_gadr) AS Def_Rev, CID_Rms AS Target, Avg_rms AS Avg_Bkd FROM AW_TGT_BUS_DBO.OY_ANNUALCROSSOVER WHERE stay_year < &YEARNXT3 AND ASOF_YRMO=&CURYRPD ORDER BY marsha, stay_year) ;",Americas_7_CrossOverData.sas
"CREATE TABLE Futures AS  ( select marsha, 'Futures' AS Stay_Year, coalesce( SUM( crossover_rms),0) AS CO_RN_Goal, coalesce( SUM( crossover_rms*def_gadr),0) AS CO_Rev_Goal, SUM( def_rms) AS Def_OTB, SUM( def_rms*def_gadr) AS Def_Rev, SUM( cid_rms) AS Target, SUM( avg_rms) AS Avg_Bkd FROM AW_TGT_BUS_DBO.OY_ANNUALCROSSOVER WHERE stay_year > &curyr AND ASOF_YRMO=&CURYRPD GROUP BY marsha ORDER BY marsha) ;",Americas_7_CrossOverData.sas
"CREATE TABLE merge_CrossOver1 AS ( SELECT  *, marsha AS marsha2, FORMAT(stay_year, VARCHAR(7)) AS stay_year , marsha2 AS marsha , CASE WHEN  CO_Rev_Goal=' ' OR CO_Rev_Goal=' ' OR CO_RN_Goal=0 OR CO_Rev_Goal=0  THEN 0 ELSE CO_Rev_Goal/CO_RN_Goal END AS CO_RN_Goal_ADR, CASE WHEN  Def_OTB=' ' OR Def_REV=' ' OR Def_OTB=' ' OR Def_REV=0  THEN 0 ELSE Def_REV/Def_OTB END AS Def_ADR FROM Currents A JOIN Futures B ON  A.marsha2 =  B.marsha2 AND  A.stay_year =  B.stay_year);",Americas_7_CrossOverData.sas
ALTER TABLE merge_CrossOver1 DROP COLUMN marsha2 ;,Americas_7_CrossOverData.sas
 CREATE TABLE sfodata.CrossOver_YTD AS ( SELECT  *  FROM merge_CrossOver1 );,Americas_7_CrossOverData.sas
"CREATE TABLE HAWAII_PROPS AS  ( SELECT MARSHACODE AS MARSHA, 'Hawaii' AS ORG_NAME FROM HICALAPROPDICT WHERE MONTH = &SHORTPD AND YEAR = &CURYR AND UPPER( REGION) = 'HAWAII'  ) ;",Americas_Archive_Hawaii_Property_List.sas
"CREATE TABLE HI_PROPS AS SELECT A.ORG_NAME, B.BRND AS BRAND, B.BRND_NAME AS BRAND_NAME, A.MARSHA, B.HOTEL_NAME AS PROPERTY_NAME, B.MISW_FLAG FROM HAWAII_PROPS A INNER JOIN AWPROD.PROPERTY_MASTER B ON A.MARSHA=B.MARSHA ORDER BY A.MARSHA ;",Americas_Archive_Hawaii_Property_List.sas
CREATE TABLE '&SWPROPS.\Hotel List Archive\Hawaii_Property_List_&NXTPD..xlsb AS ( SELECT * FROM HI_PROPS) ;,Americas_Archive_Hawaii_Property_List.sas
"CREATE TABLE AW_TGT_BUS_DBO.STR_STARVIEW_COMP_STG (  MARSHA  VARCHAR( 5), STAR_ID BIGINT, SCOMP VARCHAR( 1), ASOF_YRMO INTEGER )  ;",AW_load_Star_Comp_Load.sas
"CREATE TABLE work.starcomp AS ( SELECT  *, COMP AS SCOMP, &STARMNTH AS ASOF_YRMO , STR_ID AS STAR_ID  FROM Str_acc.Starview_Comp_CD );",AW_load_Star_Comp_Load.sas
ALTER TABLE work.starcomp DROP COLUMN STR_ID ;,AW_load_Star_Comp_Load.sas
INSERT INTO TABLE AWPROD.STR_STARVIEW_COMP_STG SELECT * FROM work.starcomp;,AW_load_Star_Comp_Load.sas
  INSERT INTO AW_TGT_BUS_DBO.STR_STARVIEW_COMP Select * FROM AW_TGT_BUS_DBO.STR_STARVIEW_COMP_STG  ;,AW_load_Star_Comp_Load.sas
  DROP TABLE AW_TGT_BUS_DBO.STR_STARVIEW_COMP_STG;,AW_load_Star_Comp_Load.sas
